,tweets,label,agreement
0,me amp the big homie meanboy stegman st,0.0,1.0
1,im thinking of devoting my career to proving autism isnt caused by vaccines due to the idiotic posts ive seen about world autism day,1.0,1.0
2,vaccines do not vaccinate your child,-1.0,1.0
3,i mean if they immunize my kid with something that wont secretly kill him years down the line then im all for it but i dont trust that,-1.0,1.0
4,thanks to catch me performing at la nuit nyc st ave show starts at,0.0,1.0
5,a nearly year old study when mental health studies and vaccines were relatively in their infancies that has been refuted,1.0,0.6666666666666666
6,study of more than kids finds no link between mmr vaccine and autism,1.0,0.6666666666666666
7,psa vaccinate your fucking kids,1.0,1.0
8,coughing extra on the shuttle and everyone thinks i have the measles,1.0,0.6666666666666666
9,aids vaccine created at oregon health amp science university may clear virus from body,1.0,0.6666666666666666
10,this point i have text butwbon jovi cover playin alibis hope u can come out mmr bbquser will b there,0.0,1.0
11,my prediction vaccine exemption in arizona will end soon to much money is being lost by big pharma,0.0,0.6666666666666666
12,getting my vaccines with cheryl southern nevada health district,1.0,1.0
13,mug noche mad hatter,0.0,1.0
14,got my influenza vaccine purdue university student health push,1.0,0.6666666666666666
15,sb enroll meningococcal diseasepupils to be immunized against at recommended age,0.0,0.6666666666666666
16,increasing number of parents skip vaccinations for their childrencolumbia missourian,0.0,1.0
17,thank you for standing with ca parents and their children in support of,1.0,1.0
18,dude idc if disney land has the measles that means shorter lines for rides so im driving down there rn,0.0,1.0
19,beeftalk start your calf vaccinations now via good article on herd health,1.0,1.0
20,i dont care what says you should probably get your kids vaccinated,1.0,1.0
21,small study shows in pts with lupus shingles vaccine safe needs to be confirmed with larger study,1.0,0.6666666666666666
22,cdc measles epidemic poses travel risks usatlyixdtv yes very true but what about the zombie epidemic closing in on us,0.0,1.0
23,every time i see the to vaccinate or not debate i wonder if those on one side of the argument should even have children,1.0,1.0
24,lied and hid data that black boys have an uncreased risk of developing autism after mmr help,-1.0,1.0
25,vaccines causing autism,-1.0,1.0
26,i rarely see arguments about over vaccination which is actually a big deal,0.0,0.6666666666666666
27,im not obsessed w ebola just following an outbreak of worlds deadliest disease that has no vaccine no cure amp up to death rate,1.0,0.6666666666666666
28,joshthenewt i suck at the game haha well some people say i dont but my mmr is eh,0.0,1.0
29,dont shake his hand pocahontas thats probably why we have measles now,0.0,0.6666666666666666
30,yes im a part of public health just like im a part of nature i feed an abandoned baby bird i vaccinate my privileged kids,1.0,1.0
31,new studies show that vaccines are not associated with autism in other news the sky is blue,1.0,1.0
32,not to be repetitive but i could not be less shocked no increase in asd even in genetically high risk,1.0,1.0
33,glad i got vaccinated health alert a case of meningitis has been reported at monmouth university,1.0,1.0
34,you look like you got the measles,0.0,0.6666666666666666
35,other than that his defense is not against vaccines being harmful but the american life being unhealthy,-1.0,0.3333333333333333
36,like hello ranked reset they probably did bad in their placements and their mmr went down not yours went up lol,0.0,1.0
37,amid measles outbreak vaccines for teachers arent required while much of the attention in the ongoing measles,0.0,0.6666666666666666
38,measles threat,0.0,0.6666666666666666
39,improve mood energy immunity cardio health kit profit thru,0.0,1.0
40,mt new bill would end exemptions personal religious via,0.0,1.0
41,autism and immunizations should you vaccinate,0.0,0.6666666666666666
42,bart riders warned about measles infection from contagious passenger oakland cbs sf bay area rapid transit,0.0,1.0
43,us cases hit year high so far this year cases of measles have been reported in the unit,0.0,0.6666666666666666
44,pull up myxx nightlife stint t performing live hosted by,0.0,1.0
45,cdc eyeing bird flu vaccine for humans though risk is low federal officials said wednesday theyre taking steps,0.0,0.6666666666666666
46,involved in fight against and other preventable diseases tenure track opening,1.0,0.6666666666666666
47,im not vaccinating my kids lol,-1.0,1.0
48,alleged victim reviewing immunity paperwork so she can resume testimony wo fear of blackmail prosecution,0.0,1.0
49,thanksuser for being more crystal clear about the lack of evidence linking mmr to autism i noticed,1.0,0.6666666666666666
50,giving me dvds on how vaccinating children is bad,0.0,0.6666666666666666
51,hey nowuser mixmasterrods upstairs lounge,0.0,1.0
52,i seriously dont want to have a child until this antivaccination movement has ended its terrifying,1.0,1.0
53,epidemic of enterovirus mumps now measles drug resistant tb is next,0.0,1.0
54,they said i wasnt gone be shit lol looked like i proved them wrong we here baby,0.0,1.0
55,flu shots at school boost vaccination rates offering flu shots at elementary schools could reduce the number of,0.0,0.6666666666666666
56,marin county school board sides with young leukemia patient on vaccinations,0.0,0.6666666666666666
57,still running with the same niggas til the death of me dibiasimb,0.0,1.0
58,yeah ill just stick to my regular vaccines oh wait that gives me autism,-1.0,0.6666666666666666
59,antivaccine people want to control people with fear and weaken herd immunityso if anyone knows about mind control its them,1.0,1.0
60,why its important to measles update says working w,1.0,1.0
61,i dont think i will ever understand peoples reasons for not getting vaccinated and not vaccinating their kids what explain,1.0,0.6666666666666666
62,cia no more vaccination campaigns in spy ops via harm from protected medic status ruse will linger,-1.0,0.6666666666666666
63,measles outbreak prompts vaccination debate a political debate rages as the measles outbreak spreads to more than,0.0,1.0
64,people need to get there children vaccinated there are very bad diseases coming back,1.0,1.0
65,vaccine brain damage cover up implodes on discussing,-1.0,1.0
66,vaccines childrens clinic,0.0,0.6666666666666666
67,did you know you get infected with the measles through airborne transmission wtf,0.0,1.0
68,access to fitchburg school is limited amid measles scare most read by neighbors in,0.0,1.0
69,both are deadly to some kids allergies are no joke and can be more deadly to a child than measles vaccinate every,1.0,1.0
70,measles in the,0.0,0.6666666666666666
71,this topic makes me scared to bring kids into modern society time to start looking for private schools who mandate vaccines,1.0,1.0
72,stop blaming first now which diseasesbrought their ancestors,1.0,0.6666666666666666
73,do they already have a cure for measles,0.0,1.0
74,they do cant attend school unless vaccinated,0.0,1.0
75,if you dont vaccinate your children you are a shitty parent end of story,1.0,1.0
76,as a citizen of the kingdom of god on assignment we have a diplomatic immunity from the fear of man,0.0,1.0
77,top colorado doctor says adults worried about measles should just get a vaccination the measles outbreak is,1.0,1.0
78,nah an idiot is someone who doesnt allow their kids to be vaccinated,1.0,1.0
79,why kids need vaccinations late thcentury maps show measles mortality before vaccines,1.0,1.0
80,measles fears spread in nj amid suspected case,0.0,1.0
81,baby vaccination day shes getting the measles one early as there are fuckwits here in chicago who dont vaccinate ensuring its a problem,1.0,1.0
82,loving the measles poster making spirit today,0.0,1.0
83,baseball coach at santa monica high contracts measles,0.0,1.0
84,im sick of hearing about people not vaccinating their children i am sick of hearing about peoples freedom to do insane dangerous things,1.0,1.0
85,which one is more risky for childrena vaccination or going to get them from school with your own car,0.0,0.6666666666666666
86,what are the odds that the kid with measles uses our lab room,0.0,1.0
87,parents that refuse to get their kids immunized should be charged with reckless endangerment if their kid gets another sick,1.0,1.0
88,rt vaccinations the measles and medicaid expansion,0.0,1.0
89,centers for disease control this years flu vaccine doesnt work,-1.0,0.6666666666666666
90,ty fought hard not vaccinate my kids yrs of ppls judgements dont get hurt get smart,-1.0,0.6666666666666666
91,vaccinate people all tarrant county cases and five in denton co traced to megachurch,1.0,0.6666666666666666
92,hb new providing for health insurance coverage for immunizations administered at a pharmacy by a pharmacist,0.0,0.6666666666666666
93,a new revises and codifies schedule for childhood lead screening along with other immunization and wellness,0.0,0.6666666666666666
94,fridays immunity challenge is walking backwards to be safe this time be sure to watch your back,0.0,0.6666666666666666
95,my s healthnut parents didnt vaccinate me this is what my childhood was like,1.0,0.6666666666666666
96,people who complain live longer releasing tension increases immunity and improves overall health well this is good news,0.0,1.0
97,austerity is not a vaccine to crisis it is a parasite with pandemic potential it drains life killing slowly,0.0,1.0
98,compensation for autism brain damage and other illnesses from vaccine court via,0.0,0.6666666666666666
99,is it that i seek to bear w them is it that i see the state of ppls hearts,0.0,0.6666666666666666
100,conservative neurosurgeon ben carson says vaccines are a public health issue thing i agree with him on,-1.0,0.6666666666666666
101,measles case confirmed at plano isd school,0.0,1.0
102,youre the reason why people think that vaccines cause autism,1.0,1.0
103,mmr studios,0.0,1.0
104,bdnwz measles kiddie parties is a thing gdnwz so is i have the most misinformed arrogant parents of the year awards,1.0,1.0
105,ok whats good u have to say about politics about our borders wide open about vaccines killing kids about the devaluation of,-1.0,1.0
106,news more than measles cases in just four months in england has jenny mccarthy visited lately,0.0,0.6666666666666666
107,three babies cured of hiv after being given vaccine after birth via,0.0,0.6666666666666666
108,who wants a shot of autism juicei mean measles vaccine,-1.0,1.0
109,lets use ebola as a step to say is just as if not more dangerous it kills thousands also,1.0,0.6666666666666666
110,over million children no autismvaccine link,1.0,1.0
111,where do i go to get ryno his middle school vaccinations too big for shots for tots ouachita parish health unit,1.0,1.0
112,dont bring that measles ampamp ebola shit in baltimore,0.0,0.6666666666666666
113,vaccine truth,0.0,0.6666666666666666
114,hell yeah do you think she thinks the baby has an immunity or something,0.0,0.6666666666666666
115,the measles may have hit wisconsin dammit,1.0,1.0
116,i still feel bad please dont be scared of me,1.0,0.6666666666666666
117,schumer wants measles vaccine more accessible,1.0,1.0
118,yet the only way to immunize him is to give all measles vac in rare cases causes brain damage which i believe caused autism,-1.0,0.6666666666666666
119,not only should they treat people where they obtained the disease but they should also provide vaccinations to those who reside in that area,1.0,1.0
120,new bexar co district attorney nico lahood vaccinations can and do cause autism by brian chasnoff,-1.0,1.0
121,vaccine scare leads to measles epidemic in uk,0.0,1.0
122,the marketing message to antivaxers is focus on the weak amp sick that are at risk amp cant vaccinate dont focus on the facts,1.0,0.6666666666666666
123,the article i just rted if u choose to not get vaccinated youre being ignorant and just dont even give me the whole they cause autism,1.0,1.0
124,literally does not matter it will now just be what theres no way mine could be this low blizzard is just bad at mmr,0.0,1.0
125,i hope you get measles,0.0,1.0
126,last vaccine aurora health care occupational health,1.0,1.0
127,kids night at earthfare time to watch parents douse everything their little angels touch with sanitizer preventing them from immunities,0.0,1.0
128,and the vaccine will injure tens of thousands more,-1.0,1.0
129,it is important to vaccinate and care for baby pigs when they are,1.0,0.6666666666666666
130,editorial remove philosophical exemption from vaccine requirements for school entry michigan is in danger of,0.0,1.0
131,even with the vaccine your child is still at risk of catching the disease,0.0,0.6666666666666666
132,parents would no longer be able to rely on the herd immunity of protected children,1.0,1.0
133,i honestly dont believe in immunization now they passed a new law that starting this year we all need specific shots to get into school,-1.0,1.0
134,study of more than kids finds no link between mmr vaccine and autism,1.0,1.0
135,really mmr shots,-1.0,1.0
136,need a vaccine deaths so far from in guinea more in sierra leone on alert,1.0,1.0
137,and the parents need to get their mmr booster shot too they claim vaccines cause autism and other disorders not provenis it,1.0,0.6666666666666666
138,pro safety doesnt make me an antivaxer it makes me an educated consumer,-1.0,0.3333333333333333
139,he wants immunity and he wants it now,0.0,1.0
140,great info today esp reemerging measles and antigluten fad ty,0.0,0.6666666666666666
141,and chicken pox kids here are vaccinated against it so no nasty itchy spots and small scars for my little beauty,1.0,0.6666666666666666
142,my understanding is if you could get individual shots instead of combo vaccines safer,-1.0,0.3333333333333333
143,immunities baby immunities,0.0,0.6666666666666666
144,amp vaccines arent new because social diseases arent actually what they say mislabled,0.0,1.0
145,finally i heard jenny mccarthys son does not have autism she should apologize to all the dead kids that didnt get vaccines,1.0,0.6666666666666666
146,gates foundation pledges billion to immunize poor children,1.0,0.6666666666666666
147,reading fb comments on measles articles great entertainment,0.0,1.0
148,eric holder is forcing you to send your babies to start school with illegals who have had no immunization shots,1.0,0.6666666666666666
149,aids n qhpv vaccine reduces risk costs among older hivpositive msm treated for hgain,1.0,0.6666666666666666
150,why isnt the news talking about how measles were wiped out and then came back cuz dumbass ppl dont vaccinate their kids,1.0,0.6666666666666666
151,also i dont get a flu vaccine until i know its safe im letting the rest of the school be the guinea pigs for the vaccine,-1.0,1.0
152,the mountain is out what a glorious day this is cherry blossoms lunch w a pal outside now a drive to bellevue to get my mmr shot yay,0.0,0.6666666666666666
153,hmcheck for wounds may be an infection if vaccines arent up to date may be a disease regardless bring him to the vet,0.0,0.6666666666666666
154,and partial agreement measles cases result from the law of large numbers coincidence media obfuscation too,0.0,1.0
155,theyre heeeere dc confirms a case of measles,0.0,0.6666666666666666
156,vaccinate your kids,1.0,1.0
157,nice discussion by on vaccines in kidney transplant recipients,0.0,1.0
158,last one vaccinate your damn children i swear to god if i hear about this vaccination autism shit one more time im going to kill myself,1.0,1.0
159,most wont say it but i do not have to be politically correct vaccinate your kids before they get the poliovirus you idiots,1.0,1.0
160,omg the day we got drunk af by pm wow what a mmr,0.0,1.0
161,gave this adorable little asian kid a piece of chalk so he could draw on the chalkboard while waiting for immunizations he ate it,0.0,0.6666666666666666
162,we didnt get vaccinatedampwe survived i had smallpox measles mumps amppolioampsurvived dadnou didnt have smallpoxyes i did ampi survived,-1.0,0.6666666666666666
163,njoying the moments of life,0.0,1.0
164,people vaccinate your kids outbreaks happen because people think they will get autism educate yourself,1.0,1.0
165,vaccinated my kids yesterday rt about of flurelated pediatric deaths occur in who didnt get a vaccine,1.0,1.0
166,measles outbreak to vaccinate or not vaccinate,0.0,0.6666666666666666
167,stick with science we dont want measles back,1.0,1.0
168,wonder how many measles cases are walking around heresure are plenty of sick candidates at,0.0,1.0
169,people have been vaccinated to the truth parroting words out of context they dont even understand bless their heart but cmon son,0.0,0.6666666666666666
170,there r no double blind studies showing work,-1.0,1.0
171,yo mugs nuff said,0.0,1.0
172,measles cases in ventura county prompt vaccination advisory two visitors from europe are suspected of falling,1.0,0.6666666666666666
173,i will never understand why parents dont get kids vaccinated,1.0,1.0
174,come and pray in our mmr marian gardens,0.0,1.0
175,just watched a mmr truck hit a cat you bastereds,0.0,1.0
176,we dont know what causes autism but we do know vaccines dont,1.0,1.0
177,do not ask what are all those bumps doing on me i already had shingles and chicken pox and measles,0.0,1.0
178,i doubt immunity will open lips with truth from lerner,0.0,1.0
179,injuries amp death from heres article out of many from a simple google search,-1.0,1.0
180,whats been the increase in reported measles and tb for the past five years,0.0,1.0
181,babies die sickened from bad vaccines in south mexico mexicos public health system has suspended infant,0.0,0.6666666666666666
182,mmr x db deigner,0.0,1.0
183,some say this brooklyn is biggie mogul presents franchise liaison problems official video,0.0,1.0
184,measles cases at year high because parents are failing to get children vaccinated,1.0,0.6666666666666666
185,worried about the outbreak local doctors answer your questions pm click,0.0,1.0
186,if you take this toxin or vaccine youll get cancer or autism and you wont like hugs,-1.0,1.0
187,ya ready con pala caravana de texas saludos a too y un gran abrazo and,0.0,1.0
188,pissed that i have to have a blood test to see if my measles vaccine is still good idiot parents who dont vaccinate should be punished,1.0,1.0
189,all the taxpayer money wasted at cdc canada comes up with vaccine pitiful,0.0,1.0
190,mmr meets bliss thursday august until,0.0,1.0
191,i cant my brother had an awful reaction and my friends child developed autism after her first vaccines,-1.0,1.0
192,s new department of healthimmunizations,0.0,0.6666666666666666
193,are important rt measles cases in california outbreak keep rising now at almost,1.0,0.6666666666666666
194,cat vomit toddler tantrums kindergarten party with kids patching up scrapes amp writing about measles amp religion,0.0,1.0
195,i had what i think was the day measles as a child should i be concernedi am now yrs old,0.0,1.0
196,an aids vaccine was created at oregon health amp science university that supposed to completely clear the virus from your system,1.0,1.0
197,parents warned that vaccinating kids may turn them gay via,-1.0,0.3333333333333333
198,you need to ask what of measles outbreak are illegalswhere they fit in epidemic chainnear the beginning,0.0,1.0
